id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Smooth Operator,Sade,r&b,sensual,0.54,92,0.68,0.72,0.31
12,Juicy,The Notorious B.I.G.,hip hop,triumphant,0.83,96,0.78,0.84,0.10
13,Keep Ya Head Up,2Pac,rap,empowering,0.74,93,0.72,0.80,0.14
14,Waterfalls,TLC,r&b,thoughtful,0.61,85,0.64,0.76,0.25
15,Hey Ya!,OutKast,hip hop,playful,0.89,160,0.88,0.90,0.12
16,Ex-Factor,Lauryn Hill,r&b,heartbroken,0.47,84,0.42,0.63,0.38
17,U.N.I.T.Y.,Queen Latifah,rap,assertive,0.79,98,0.69,0.78,0.11
18,No Diggity,Blackstreet,hip hop,swagger,0.76,92,0.81,0.85,0.17
